invoice_date,Region,total_revenue,transaction_count,avg_transaction_value,total_quantity,unique_customers,active_malls
2021-01-01,Ataşehir,4899.51,13,376.89,33,13,1
2021-01-01,Bayrampaşa,6196.59,6,1032.77,16,6,2
2021-01-01,Beşiktaş,89270.38,27,3306.31,94,27,2
2021-01-01,Levent,91087.94,37,2461.84,124,37,2
2021-01-01,Pendik,215.76,3,71.92,11,3,1
2021-01-01,Üsküdar,20245.94,7,2892.28,22,7,1
2021-01-01,Şişli,13251.89,12,1104.32,33,12,1
2021-01-02,Ataşehir,15999.01,11,1454.46,31,11,1
2021-01-02,Bayrampaşa,19308.42,15,1287.23,46,15,2
2021-01-02,Beşiktaş,95701.04,41,2334.17,127,41,2
2021-01-02,Levent,76682.96,39,1966.23,105,39,2
2021-01-02,Pendik,3576.48,7,510.93,17,7,1
2021-01-02,Üsküdar,3247.08,5,649.42,12,5,1
2021-01-02,Şişli,32614.49,16,2038.41,49,16,1
2021-01-03,Ataşehir,17070.35,12,1422.53,33,12,1
2021-01-03,Bayrampaşa,33577.03,18,1865.39,54,18,2
2021-01-03,Beşiktaş,95014.0,27,3519.04,93,27,2
2021-01-03,Levent,133612.92,51,2619.86,153,51,2
2021-01-03,Pendik,11661.13,10,1166.11,23,10,1
2021-01-03,Üsküdar,7141.66,3,2380.55,10,3,1
2021-01-03,Şişli,4279.88,16,267.49,39,16,1
2021-01-04,Ataşehir,21320.76,11,1938.25,31,11,1
2021-01-04,Bayrampaşa,27074.78,14,1933.91,44,14,2
2021-01-04,Beşiktaş,89826.85,30,2994.23,99,30,2
2021-01-04,Levent,72318.37,44,1643.6,143,44,2
2021-01-04,Pendik,13744.54,7,1963.51,24,7,1
2021-01-04,Üsküdar,6593.71,8,824.21,24,8,1
2021-01-04,Şişli,410.82,5,82.16,14,5,1
2021-01-05,Ataşehir,12150.84,15,810.06,41,15,1
2021-01-05,Bayrampaşa,23204.68,17,1364.98,45,17,2
2021-01-05,Beşiktaş,90513.34,31,2919.79,102,31,2
2021-01-05,Levent,74668.81,40,1866.72,132,40,2
2021-01-05,Pendik,4961.26,5,992.25,15,5,1
2021-01-05,Üsküdar,4808.96,2,2404.48,6,2,1
2021-01-05,Şişli,36726.97,10,3672.7,33,10,1
2021-01-06,Ataşehir,13040.39,10,1304.04,28,10,1
2021-01-06,Bayrampaşa,45103.33,21,2147.78,67,21,2
2021-01-06,Beşiktaş,102102.57,34,3003.02,115,34,2
2021-01-06,Levent,110984.99,58,1913.53,167,58,2
2021-01-06,Pendik,10076.02,8,1259.5,18,8,1
2021-01-06,Üsküdar,13501.13,7,1928.73,20,7,1
2021-01-06,Şişli,38217.92,17,2248.11,44,17,1
2021-01-07,Ataşehir,17385.82,11,1580.53,26,11,1
2021-01-07,Bayrampaşa,9474.67,13,728.82,34,13,2
2021-01-07,Beşiktaş,131766.02,44,2994.68,130,44,2
2021-01-07,Levent,72620.63,38,1911.07,126,38,2
2021-01-07,Pendik,8316.62,6,1386.1,13,6,1
2021-01-07,Üsküdar,13448.07,9,1494.23,22,9,1
2021-01-07,Şişli,23924.1,17,1407.3,51,17,1
2021-01-08,Ataşehir,43521.92,14,3108.71,48,14,1
2021-01-08,Bayrampaşa,22009.97,12,1834.16,31,12,2
2021-01-08,Beşiktaş,16513.42,21,786.35,56,21,2
2021-01-08,Levent,123329.28,46,2681.07,136,46,2
2021-01-08,Pendik,5314.05,6,885.68,19,6,1
2021-01-08,Üsküdar,5449.57,7,778.51,16,7,1
2021-01-08,Şişli,20179.06,10,2017.91,31,10,1
2021-01-09,Ataşehir,16865.9,12,1405.49,30,12,1
2021-01-09,Bayrampaşa,21496.44,15,1433.1,54,15,2
2021-01-09,Beşiktaş,54498.75,27,2018.47,81,27,2
2021-01-09,Levent,68316.12,34,2009.3,104,34,2
2021-01-09,Pendik,7324.86,6,1220.81,17,6,1
2021-01-09,Üsküdar,4213.12,2,2106.56,6,2,1
2021-01-09,Şişli,15844.09,11,1440.37,30,11,1
2021-01-10,Ataşehir,18514.37,11,1683.12,32,11,1
2021-01-10,Bayrampaşa,12199.78,9,1355.53,29,9,2
2021-01-10,Beşiktaş,75443.39,35,2155.53,112,35,2
2021-01-10,Levent,97532.16,42,2322.19,116,42,2
2021-01-10,Pendik,6852.44,6,1142.07,13,6,1
2021-01-10,Üsküdar,18961.97,4,4740.49,13,4,1
2021-01-10,Şişli,42689.33,12,3557.44,36,12,1
2021-01-11,Ataşehir,13595.03,9,1510.56,23,9,1
2021-01-11,Bayrampaşa,24186.83,10,2418.68,37,10,2
2021-01-11,Beşiktaş,51329.28,26,1974.2,76,26,2
2021-01-11,Levent,98140.09,52,1887.31,145,52,2
2021-01-11,Pendik,1104.29,2,552.15,3,2,1
2021-01-11,Üsküdar,15135.17,5,3027.03,18,5,1
2021-01-11,Şişli,38717.32,14,2765.52,42,14,1
2021-01-12,Ataşehir,11478.79,11,1043.53,34,11,1
2021-01-12,Bayrampaşa,14197.57,11,1290.69,29,11,2
2021-01-12,Beşiktaş,65174.2,29,2247.39,91,29,2
2021-01-12,Levent,108590.9,42,2585.5,140,42,2
2021-01-12,Pendik,28206.52,8,3525.82,22,8,1
2021-01-12,Üsküdar,11386.89,5,2277.38,20,5,1
2021-01-12,Şişli,34043.57,15,2269.57,42,15,1
2021-01-13,Ataşehir,53836.16,14,3845.44,51,14,1
2021-01-13,Bayrampaşa,20338.94,9,2259.88,29,9,2
2021-01-13,Beşiktaş,70162.0,27,2598.59,91,27,2
2021-01-13,Levent,93685.09,36,2602.36,117,36,2
2021-01-13,Pendik,5157.75,5,1031.55,16,5,1
2021-01-13,Üsküdar,8954.95,4,2238.74,14,4,1
2021-01-13,Şişli,21467.47,17,1262.79,51,17,1
2021-01-14,Ataşehir,47014.49,21,2238.79,61,21,1
2021-01-14,Bayrampaşa,16219.66,14,1158.55,39,14,2
2021-01-14,Beşiktaş,48202.28,29,1662.15,89,29,2
2021-01-14,Levent,38151.89,39,978.25,97,39,2
2021-01-14,Pendik,13081.95,10,1308.2,33,10,1
2021-01-14,Üsküdar,9881.38,7,1411.63,22,7,1
2021-01-14,Şişli,40011.75,10,4001.18,37,10,1
2021-01-15,Ataşehir,11942.66,9,1326.96,27,9,1
2021-01-15,Bayrampaşa,41274.35,14,2948.17,46,14,2
2021-01-15,Beşiktaş,80948.15,30,2698.27,97,30,2
2021-01-15,Levent,97592.45,44,2218.01,133,44,2
2021-01-15,Pendik,4834.71,7,690.67,16,7,1
2021-01-15,Üsküdar,24688.67,9,2743.19,33,9,1
2021-01-15,Şişli,8995.09,9,999.45,19,9,1
2021-01-16,Ataşehir,9787.83,12,815.65,25,12,1
2021-01-16,Bayrampaşa,17380.69,12,1448.39,43,12,2
2021-01-16,Beşiktaş,74143.88,34,2180.7,115,34,2
