shopping_mall,Region,category,forecast_date,forecasted_sales
Cevahir AVM,Bayrampaşa,Books,2023-03-07,94.9523612190516
Cevahir AVM,Bayrampaşa,Books,2023-03-08,109.26909542161488
Cevahir AVM,Bayrampaşa,Books,2023-03-09,111.87078642919177
Cevahir AVM,Bayrampaşa,Books,2023-03-10,129.80183058675735
Cevahir AVM,Bayrampaşa,Books,2023-03-11,192.43053699311272
Cevahir AVM,Bayrampaşa,Books,2023-03-12,142.25300842334065
Cevahir AVM,Bayrampaşa,Books,2023-03-13,146.29424194340987
Cevahir AVM,Bayrampaşa,Books,2023-03-14,93.09669831622544
Cevahir AVM,Bayrampaşa,Books,2023-03-15,86.18324183061569
Cevahir AVM,Bayrampaşa,Books,2023-03-16,70.74561295123421
Cevahir AVM,Bayrampaşa,Books,2023-03-17,79.61982965887557
Cevahir AVM,Bayrampaşa,Books,2023-03-18,144.78968444911357
Cevahir AVM,Bayrampaşa,Books,2023-03-19,109.12984482845066
Cevahir AVM,Bayrampaşa,Books,2023-03-20,134.13228415917828
Cevahir AVM,Bayrampaşa,Books,2023-03-21,102.81986030827225
Cevahir AVM,Bayrampaşa,Books,2023-03-22,111.76781797124336
Cevahir AVM,Bayrampaşa,Books,2023-03-23,103.54530210049909
Cevahir AVM,Bayrampaşa,Books,2023-03-24,112.44131013855586
Cevahir AVM,Bayrampaşa,Books,2023-03-25,175.6067056948978
Cevahir AVM,Bayrampaşa,Books,2023-03-26,142.66963496286803
Cevahir AVM,Bayrampaşa,Books,2023-03-27,175.57229982652763
Cevahir AVM,Bayrampaşa,Books,2023-03-28,154.72666362249754
Cevahir AVM,Bayrampaşa,Books,2023-03-29,169.43079634799503
Cevahir AVM,Bayrampaşa,Books,2023-03-30,157.49229557986476
Cevahir AVM,Bayrampaşa,Books,2023-03-31,152.2150051872212
Cevahir AVM,Bayrampaşa,Books,2023-04-01,194.09874501538326
Cevahir AVM,Bayrampaşa,Books,2023-04-02,139.02357238123315
Cevahir AVM,Bayrampaşa,Books,2023-04-03,151.10470160637402
Cevahir AVM,Bayrampaşa,Books,2023-04-04,112.78654472981293
Cevahir AVM,Bayrampaşa,Books,2023-04-05,113.07694027706508
Cevahir AVM,Bayrampaşa,Books,2023-04-06,91.98362297595223
Cevahir AVM,Bayrampaşa,Books,2023-04-07,85.51905357993685
Cevahir AVM,Bayrampaşa,Books,2023-04-08,135.7683138764882
Cevahir AVM,Bayrampaşa,Books,2023-04-09,97.95707751476748
Cevahir AVM,Bayrampaşa,Books,2023-04-10,128.92892290430424
Cevahir AVM,Bayrampaşa,Books,2023-04-11,104.41484033134387
Cevahir AVM,Bayrampaşa,Books,2023-04-12,107.2810030591875
Cevahir AVM,Bayrampaşa,Books,2023-04-13,77.50607928415707
Cevahir AVM,Bayrampaşa,Books,2023-04-14,55.22507117277987
Cevahir AVM,Bayrampaşa,Books,2023-04-15,89.21114157737135
Cevahir AVM,Bayrampaşa,Books,2023-04-16,42.56528310679423
Cevahir AVM,Bayrampaşa,Books,2023-04-17,75.15300912176139
Cevahir AVM,Bayrampaşa,Books,2023-04-18,64.55126910350246
Cevahir AVM,Bayrampaşa,Books,2023-04-19,90.28563029602995
Cevahir AVM,Bayrampaşa,Books,2023-04-20,87.32208549007393
Cevahir AVM,Bayrampaşa,Books,2023-04-21,237.2382993116084
Cevahir AVM,Bayrampaşa,Books,2023-04-22,286.7395552720431
Cevahir AVM,Bayrampaşa,Books,2023-04-23,198.58330099721135
Cevahir AVM,Bayrampaşa,Books,2023-04-24,134.43399641457754
Cevahir AVM,Bayrampaşa,Books,2023-04-25,127.04946891733915
Cevahir AVM,Bayrampaşa,Books,2023-04-26,160.21170085993006
Cevahir AVM,Bayrampaşa,Books,2023-04-27,168.4036867048085
Cevahir AVM,Bayrampaşa,Books,2023-04-28,179.26166532546875
Cevahir AVM,Bayrampaşa,Books,2023-04-29,229.6912533803734
Cevahir AVM,Bayrampaşa,Books,2023-04-30,181.08816897506495
Cevahir AVM,Bayrampaşa,Books,2023-05-01,112.59891752814652
Cevahir AVM,Bayrampaşa,Books,2023-05-02,164.27472970674316
Cevahir AVM,Bayrampaşa,Books,2023-05-03,172.35256054011293
Cevahir AVM,Bayrampaşa,Books,2023-05-04,157.42408971849733
Cevahir AVM,Bayrampaşa,Books,2023-05-05,147.43972656284626
Cevahir AVM,Bayrampaşa,Books,2023-05-06,179.98729250219637
Cevahir AVM,Bayrampaşa,Books,2023-05-07,120.15019902461076
Cevahir AVM,Bayrampaşa,Books,2023-05-08,131.989899337612
Cevahir AVM,Bayrampaşa,Books,2023-05-09,106.71256819629156
Cevahir AVM,Bayrampaşa,Books,2023-05-10,126.29153827069322
Cevahir AVM,Bayrampaşa,Books,2023-05-11,121.57903908611269
Cevahir AVM,Bayrampaşa,Books,2023-05-12,113.67740940153006
Cevahir AVM,Bayrampaşa,Books,2023-05-13,136.9631672911813
Cevahir AVM,Bayrampaşa,Books,2023-05-14,59.81898512357538
Cevahir AVM,Bayrampaşa,Books,2023-05-15,50.94201636327005
Cevahir AVM,Bayrampaşa,Books,2023-05-16,9.495603868996028
Cevahir AVM,Bayrampaşa,Books,2023-05-17,22.34551674841321
Cevahir AVM,Bayrampaşa,Books,2023-05-18,23.511517111533294
Cevahir AVM,Bayrampaşa,Books,2023-05-19,33.04884044128355
Cevahir AVM,Bayrampaşa,Books,2023-05-20,80.98166662811938
Cevahir AVM,Bayrampaşa,Books,2023-05-21,30.699739380821832
Cevahir AVM,Bayrampaşa,Books,2023-05-22,43.61041122917344
Cevahir AVM,Bayrampaşa,Books,2023-05-23,16.701440918517306
Cevahir AVM,Bayrampaşa,Books,2023-05-24,37.51623851080605
Cevahir AVM,Bayrampaşa,Books,2023-05-25,45.475823894711574
Cevahir AVM,Bayrampaşa,Books,2023-05-26,65.41555154642103
Cevahir AVM,Bayrampaşa,Books,2023-05-27,128.50348626825303
Cevahir AVM,Bayrampaşa,Books,2023-05-28,95.80386444855479
Cevahir AVM,Bayrampaşa,Books,2023-05-29,121.1197556279288
Cevahir AVM,Bayrampaşa,Books,2023-05-30,97.29521472586926
Cevahir AVM,Bayrampaşa,Books,2023-05-31,110.3332216651954
Cevahir AVM,Bayrampaşa,Books,2023-06-01,103.44292048906732
Cevahir AVM,Bayrampaşa,Books,2023-06-02,105.88079494005717
Cevahir AVM,Bayrampaşa,Books,2023-06-03,151.6991740568238
Cevahir AVM,Bayrampaşa,Books,2023-06-04,104.12113536345271
Cevahir AVM,Bayrampaşa,Clothing,2023-03-09,8143.548601429647
Cevahir AVM,Bayrampaşa,Clothing,2023-03-10,9841.139586207848
Cevahir AVM,Bayrampaşa,Clothing,2023-03-11,8175.088901027702
Cevahir AVM,Bayrampaşa,Clothing,2023-03-12,8400.831396039343
Cevahir AVM,Bayrampaşa,Clothing,2023-03-13,7990.254364349393
Cevahir AVM,Bayrampaşa,Clothing,2023-03-14,9182.108308006915
Cevahir AVM,Bayrampaşa,Clothing,2023-03-15,9942.409303690309
Cevahir AVM,Bayrampaşa,Clothing,2023-03-16,8499.214599443934
Cevahir AVM,Bayrampaşa,Clothing,2023-03-17,9625.757233964967
Cevahir AVM,Bayrampaşa,Clothing,2023-03-18,7807.948406414368
Cevahir AVM,Bayrampaşa,Clothing,2023-03-19,8113.200380591345
Cevahir AVM,Bayrampaşa,Clothing,2023-03-20,7567.557863134335
Cevahir AVM,Bayrampaşa,Clothing,2023-03-21,8168.226296211526
Cevahir AVM,Bayrampaşa,Clothing,2023-03-22,8125.0126197111695
Cevahir AVM,Bayrampaşa,Clothing,2023-03-23,6204.363981784144
Cevahir AVM,Bayrampaşa,Clothing,2023-03-24,7536.06623830863
Cevahir AVM,Bayrampaşa,Clothing,2023-03-25,6480.654691746555
Cevahir AVM,Bayrampaşa,Clothing,2023-03-26,7610.597134434156
Cevahir AVM,Bayrampaşa,Clothing,2023-03-27,7533.692643939496
Cevahir AVM,Bayrampaşa,Clothing,2023-03-28,8213.301378305478
Cevahir AVM,Bayrampaşa,Clothing,2023-03-29,8134.7813113525535
Cevahir AVM,Bayrampaşa,Clothing,2023-03-30,6279.519361963138
Cevahir AVM,Bayrampaşa,Clothing,2023-03-31,7665.8194956568095
Cevahir AVM,Bayrampaşa,Clothing,2023-04-01,6345.342829242905
Cevahir AVM,Bayrampaşa,Clothing,2023-04-02,6741.957403673292
Cevahir AVM,Bayrampaşa,Clothing,2023-04-03,5732.810645616453
Cevahir AVM,Bayrampaşa,Clothing,2023-04-04,5800.61667580246
Cevahir AVM,Bayrampaşa,Clothing,2023-04-05,5774.850995569633
Cevahir AVM,Bayrampaşa,Clothing,2023-04-06,4504.734932790963
Cevahir AVM,Bayrampaşa,Clothing,2023-04-07,6526.759557506178
Cevahir AVM,Bayrampaşa,Clothing,2023-04-08,5520.704582268965
Cevahir AVM,Bayrampaşa,Clothing,2023-04-09,5971.393380706117
Cevahir AVM,Bayrampaşa,Clothing,2023-04-10,5170.9781966124
Cevahir AVM,Bayrampaşa,Clothing,2023-04-11,5922.616133305785
Cevahir AVM,Bayrampaşa,Clothing,2023-04-12,6927.512711337442
Cevahir AVM,Bayrampaşa,Clothing,2023-04-13,6523.906960182339
Cevahir AVM,Bayrampaşa,Clothing,2023-04-14,8792.565383329107
Cevahir AVM,Bayrampaşa,Clothing,2023-04-15,7425.511405938072
Cevahir AVM,Bayrampaşa,Clothing,2023-04-16,7348.8369517671545
Cevahir AVM,Bayrampaşa,Clothing,2023-04-17,6317.302317470486
Cevahir AVM,Bayrampaşa,Clothing,2023-04-18,7187.926876884116
Cevahir AVM,Bayrampaşa,Clothing,2023-04-19,8294.116177883774
Cevahir AVM,Bayrampaşa,Clothing,2023-04-20,7575.018602710469
Cevahir AVM,Bayrampaşa,Clothing,2023-04-21,10373.798323438681
Cevahir AVM,Bayrampaşa,Clothing,2023-04-22,8283.856407979421
Cevahir AVM,Bayrampaşa,Clothing,2023-04-23,9003.003863696717
Cevahir AVM,Bayrampaşa,Clothing,2023-04-24,6157.971908802275
Cevahir AVM,Bayrampaşa,Clothing,2023-04-25,7784.597153236633
Cevahir AVM,Bayrampaşa,Clothing,2023-04-26,9442.03731928044
Cevahir AVM,Bayrampaşa,Clothing,2023-04-27,8831.727688079449
Cevahir AVM,Bayrampaşa,Clothing,2023-04-28,10182.235431002484
Cevahir AVM,Bayrampaşa,Clothing,2023-04-29,7930.33094698382
Cevahir AVM,Bayrampaşa,Clothing,2023-04-30,7570.467437351424
Cevahir AVM,Bayrampaşa,Clothing,2023-05-01,5094.3723337778065
Cevahir AVM,Bayrampaşa,Clothing,2023-05-02,7693.0263431135445
Cevahir AVM,Bayrampaşa,Clothing,2023-05-03,8291.515654076587
Cevahir AVM,Bayrampaşa,Clothing,2023-05-04,6687.496225953735
Cevahir AVM,Bayrampaşa,Clothing,2023-05-05,7596.064853630157
Cevahir AVM,Bayrampaşa,Clothing,2023-05-06,5579.290679844439
Cevahir AVM,Bayrampaşa,Clothing,2023-05-07,5781.823096540766
Cevahir AVM,Bayrampaşa,Clothing,2023-05-08,5367.141404340774
Cevahir AVM,Bayrampaşa,Clothing,2023-05-09,6391.080423753984
Cevahir AVM,Bayrampaşa,Clothing,2023-05-10,7019.796189452607
Cevahir AVM,Bayrampaşa,Clothing,2023-05-11,5826.44977900611
Cevahir AVM,Bayrampaşa,Clothing,2023-05-12,7640.725359589188
Cevahir AVM,Bayrampaşa,Clothing,2023-05-13,6669.597088876287
Cevahir AVM,Bayrampaşa,Clothing,2023-05-14,7507.383734202175
Cevahir AVM,Bayrampaşa,Clothing,2023-05-15,7066.982747901091
Cevahir AVM,Bayrampaşa,Clothing,2023-05-16,7658.809419613306
Cevahir AVM,Bayrampaşa,Clothing,2023-05-17,7962.390009740212
Cevahir AVM,Bayrampaşa,Clothing,2023-05-18,6839.235641544189
Cevahir AVM,Bayrampaşa,Clothing,2023-05-19,7601.778834832784
Cevahir AVM,Bayrampaşa,Clothing,2023-05-20,7987.165440633201
Cevahir AVM,Bayrampaşa,Clothing,2023-05-21,8368.043621153853
Cevahir AVM,Bayrampaşa,Clothing,2023-05-22,7221.798500470304
Cevahir AVM,Bayrampaşa,Clothing,2023-05-23,7387.590686240264
Cevahir AVM,Bayrampaşa,Clothing,2023-05-24,7902.061292406037
Cevahir AVM,Bayrampaşa,Clothing,2023-05-25,7498.074308212515
Cevahir AVM,Bayrampaşa,Clothing,2023-05-26,10322.29123194497
Cevahir AVM,Bayrampaşa,Clothing,2023-05-27,9725.055598328276
Cevahir AVM,Bayrampaşa,Clothing,2023-05-28,10021.446690845842
Cevahir AVM,Bayrampaşa,Clothing,2023-05-29,8641.684055818107
Cevahir AVM,Bayrampaşa,Clothing,2023-05-30,8639.574073036641
Cevahir AVM,Bayrampaşa,Clothing,2023-05-31,8951.025376919904
Cevahir AVM,Bayrampaşa,Clothing,2023-06-01,8004.658856072318
Cevahir AVM,Bayrampaşa,Clothing,2023-06-02,9806.313694341488
Cevahir AVM,Bayrampaşa,Clothing,2023-06-03,7983.318538038682
Cevahir AVM,Bayrampaşa,Clothing,2023-06-04,7371.751245011565
Cevahir AVM,Bayrampaşa,Clothing,2023-06-05,5751.5803372138525
Cevahir AVM,Bayrampaşa,Clothing,2023-06-06,6049.145226407929
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-08,652.123704946286
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-09,567.2170116268821
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-10,503.0774054529007
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-11,527.7824461097015
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-12,560.9301730885643
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-13,683.1237411896996
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-14,655.6433607588502
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-15,694.576724887026
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-16,669.4807095285358
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-17,647.7558365889838
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-18,674.24690289392
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-19,653.2559019931044
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-20,677.3075074581736
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-21,547.1859315805243
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-22,524.2569543417334
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-23,501.1870025541595
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-24,535.0743552357906
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-25,639.7144576387434
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-26,691.2990153181333
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-27,771.2150616574498
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-28,681.2008298760405
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-29,682.1857228047644
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-30,659.4497589488345
Cevahir AVM,Bayrampaşa,Cosmetics,2023-03-31,665.0613946955215
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-01,722.8406484262532
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-02,733.7343948989527
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-03,801.2019961337754
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-04,725.9168580447011
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-05,741.581893880134
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-06,699.9058697836081
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-07,641.0838847644638
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-08,610.8301191234801
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-09,551.3054846278429
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-10,597.8054664371274
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-11,554.2669242349054
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-12,633.9676310188206
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-13,665.0404960654337
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-14,676.7933529176352
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-15,713.8431679418586
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-16,712.0248469338914
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-17,787.052030541251
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-18,720.5867229546825
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-19,722.6317448769713
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-20,648.534085506377
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-21,120.96282435682697
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-22,127.12509717493467
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-23,0.0
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-24,753.8453717281714
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-25,763.2231373454672
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-26,827.2332384618198
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-27,797.7608767365313
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-28,752.1312948059832
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-29,767.9593030107641
Cevahir AVM,Bayrampaşa,Cosmetics,2023-04-30,779.440113864799
Cevahir AVM,Bayrampaşa,Cosmetics,2023-05-01,880.3979678433226
Cevahir AVM,Bayrampaşa,Cosmetics,2023-05-02,838.8395782564717
Cevahir AVM,Bayrampaşa,Cosmetics,2023-05-03,871.1499664296583
Cevahir AVM,Bayrampaşa,Cosmetics,2023-05-04,841.6531514565576
Cevahir AVM,Bayrampaşa,Cosmetics,2023-05-05,812.4178463736808
Cevahir AVM,Bayrampaşa,Cosmetics,2023-05-06,827.1237011920471
