invoice_date,shopping_mall,Region,total_revenue,transaction_count,avg_transaction_value,total_quantity,unique_customers,revenue_per_customer
2021-01-01,Cevahir AVM,Bayrampaşa,2672.22,4,668.06,11,4,668.06
2021-01-01,Emaar Square Mall,Üsküdar,20245.94,7,2892.28,22,7,2892.28
2021-01-01,Forum Istanbul,Bayrampaşa,3524.37,2,1762.19,5,2,1762.18
2021-01-01,Istinye Park,Şişli,13251.89,12,1104.32,33,12,1104.32
2021-01-01,Kanyon,Levent,49783.48,19,2620.18,61,19,2620.18
2021-01-01,Mall of Istanbul,Beşiktaş,70010.88,23,3043.95,79,23,3043.95
2021-01-01,Metrocity,Levent,41304.45,18,2294.69,63,18,2294.69
2021-01-01,Metropol AVM,Ataşehir,4899.51,13,376.89,33,13,376.89
2021-01-01,Viaport Outlet,Pendik,215.76,3,71.92,11,3,71.92
2021-01-01,Zorlu Center,Beşiktaş,19259.5,4,4814.87,15,4,4814.88
2021-01-02,Cevahir AVM,Bayrampaşa,6629.99,7,947.14,25,7,947.14
2021-01-02,Emaar Square Mall,Üsküdar,3247.08,5,649.42,12,5,649.42
2021-01-02,Forum Istanbul,Bayrampaşa,12678.43,8,1584.8,21,8,1584.8
2021-01-02,Istinye Park,Şişli,32614.49,16,2038.41,49,16,2038.41
2021-01-02,Kanyon,Levent,47093.88,22,2140.63,53,22,2140.63
2021-01-02,Mall of Istanbul,Beşiktaş,84975.97,31,2741.16,101,31,2741.16
2021-01-02,Metrocity,Levent,29589.08,17,1740.53,52,17,1740.53
2021-01-02,Metropol AVM,Ataşehir,15999.01,11,1454.46,31,11,1454.46
2021-01-02,Viaport Outlet,Pendik,3576.48,7,510.93,17,7,510.93
2021-01-02,Zorlu Center,Beşiktaş,10725.07,10,1072.51,26,10,1072.51
2021-01-03,Cevahir AVM,Bayrampaşa,17737.02,8,2217.13,24,8,2217.13
2021-01-03,Emaar Square Mall,Üsküdar,7141.66,3,2380.55,10,3,2380.55
2021-01-03,Forum Istanbul,Bayrampaşa,15840.01,10,1584.0,30,10,1584.0
2021-01-03,Istinye Park,Şişli,4279.88,16,267.49,39,16,267.49
2021-01-03,Kanyon,Levent,62379.84,26,2399.22,84,26,2399.22
2021-01-03,Mall of Istanbul,Beşiktaş,79283.67,24,3303.49,81,24,3303.49
2021-01-03,Metrocity,Levent,71233.08,25,2849.32,69,25,2849.32
2021-01-03,Metropol AVM,Ataşehir,17070.35,12,1422.53,33,12,1422.53
2021-01-03,Viaport Outlet,Pendik,11661.13,10,1166.11,23,10,1166.11
2021-01-03,Zorlu Center,Beşiktaş,15730.33,3,5243.44,12,3,5243.44
2021-01-04,Cevahir AVM,Bayrampaşa,12670.16,5,2534.03,19,5,2534.03
2021-01-04,Emaar Square Mall,Üsküdar,6593.71,8,824.21,24,8,824.21
2021-01-04,Forum Istanbul,Bayrampaşa,14404.62,9,1600.51,25,9,1600.51
2021-01-04,Istinye Park,Şişli,410.82,5,82.16,14,5,82.16
2021-01-04,Kanyon,Levent,60103.0,27,2226.04,95,27,2226.04
2021-01-04,Mall of Istanbul,Beşiktaş,71168.88,19,3745.73,64,19,3745.73
2021-01-04,Metrocity,Levent,12215.37,17,718.55,48,17,718.55
2021-01-04,Metropol AVM,Ataşehir,21320.76,11,1938.25,31,11,1938.25
2021-01-04,Viaport Outlet,Pendik,13744.54,7,1963.51,24,7,1963.51
2021-01-04,Zorlu Center,Beşiktaş,18657.98,11,1696.18,35,11,1696.18
2021-01-05,Cevahir AVM,Bayrampaşa,4449.93,6,741.66,17,6,741.66
2021-01-05,Emaar Square Mall,Üsküdar,4808.96,2,2404.48,6,2,2404.48
2021-01-05,Forum Istanbul,Bayrampaşa,18754.75,11,1704.98,28,11,1704.98
2021-01-05,Istinye Park,Şişli,36726.97,10,3672.7,33,10,3672.7
2021-01-05,Kanyon,Levent,41098.37,30,1369.95,100,30,1369.95
2021-01-05,Mall of Istanbul,Beşiktaş,90033.88,29,3104.62,97,29,3104.62
2021-01-05,Metrocity,Levent,33570.44,10,3357.04,32,10,3357.04
2021-01-05,Metropol AVM,Ataşehir,12150.84,15,810.06,41,15,810.06
2021-01-05,Viaport Outlet,Pendik,4961.26,5,992.25,15,5,992.25
2021-01-05,Zorlu Center,Beşiktaş,479.46,2,239.73,5,2,239.73
2021-01-06,Cevahir AVM,Bayrampaşa,22728.39,14,1623.46,44,14,1623.46
2021-01-06,Emaar Square Mall,Üsküdar,13501.13,7,1928.73,20,7,1928.73
2021-01-06,Forum Istanbul,Bayrampaşa,22374.94,7,3196.42,23,7,3196.42
2021-01-06,Istinye Park,Şişli,38217.92,17,2248.11,44,17,2248.11
2021-01-06,Kanyon,Levent,78471.9,30,2615.73,89,30,2615.73
2021-01-06,Mall of Istanbul,Beşiktaş,86426.17,29,2980.21,98,29,2980.21
2021-01-06,Metrocity,Levent,32513.08,28,1161.18,78,28,1161.18
2021-01-06,Metropol AVM,Ataşehir,13040.39,10,1304.04,28,10,1304.04
2021-01-06,Viaport Outlet,Pendik,10076.02,8,1259.5,18,8,1259.5
